Date,COST,HD,JNJ,XOM,V,LLY,UNH,JPM,AVGO,TSLA,META,GOOGL,NVDA,AMZN,MSFT,AAPL
44922,-0.013054706,-0.012598899,-0.0045112,-0.016875715,-0.006858716,-0.000359692,-0.007273361,0.005011379,-0.016952362,0.030563332,-0.011612112,-0.01658892,-0.008196815,-0.015390641,-0.011352466,-0.032441317
44923,0.006819943,0.014141352,0.004919487,0.007224402,0.014328242,0.003625338,0.002105455,0.005282073,0.02223208,0.075736473,0.038573757,0.02706973,0.037442336,0.027845729,0.026210305,0.026655168
44924,-1.03E-03,-0.014875041,-0.005300307,0.009709827,-0.001979973,-0.004511304,-3.09207E-05,0.006144865,0.001161262,0.009112222,-0.000108394,-0.003278175,-0.001406193,-0.002730486,-0.005994328,0.001190385
44925,-0.008043108,-0.000414287,0.00851799,-0.035278148,-0.002319495,-0.0036172,-0.022603433,0.007138334,-0.011358784,-0.132579927,0.035137171,0.009248871,-0.022831249,0.020845359,-0.002045865,-0.039397665
44929,0.006245646,0.011446915,0.010666354,0.002593188,0.024321406,-0.006482694,-0.028239094,0.008842842,0.010937312,0.047988909,0.020091357,-0.012526159,0.027708242,-0.008545053,-0.045773376,0.008985947
44930,-0.015014844,-0.013985964,-0.007573039,0.021814359,-0.007617203,-0.012869796,-0.029841007,-0.008020149,-0.010563412,-0.03145901,-0.004155059,-0.022363236,-0.035525554,-0.024601488,-0.031130413,-0.011936739
44931,0.069113294,0.005936072,0.007914819,0.011701252,0.03043126,0.009846918,-0.000515249,0.018515696,0.057251424,0.022362229,0.023200418,0.012350495,0.038637594,0.034401815,0.010671823,0.034857898
44932,-0.009533357,0.000308782,-0.026412063,-0.019126413,0.003358961,-0.038081312,-0.000474467,-0.00457991,-0.02100868,0.055664645,-0.005012462,0.006967661,0.048299276,0.014170482,0.008644686,0.002805075
44935,0.00455553,0.008261479,-0.002557004,0.014511439,0.010789211,0.007021246,-0.008916109,0.008475085,-0.004605703,-0.009700968,0.026051425,0.003746274,0.015661612,0.02773677,0.00654371,0.003171056
44936,0.005062239,0.025197292,-0.00176189,0.011246751,0.004020892,0.020191633,0.014514664,0.006964907,0.004365446,0.034119274,-0.001525612,0.033671465,0.003607048,0.055869632,0.028745384,0.019617053
44937,-0.004853817,0.002068239,-0.005206832,0.016161728,0.006283376,-0.004876763,0.003993313,-0.001442219,0.005348921,0.000765535,0.027566886,-0.005058333,0.029216463,0.001301243,0.010509854,-0.001874939
44938,0.004863962,0.003481333,-0.003443358,-0.000931539,-0.003044402,0.005646282,-0.012979844,0.024482507,-0.006267227,-0.011422398,0.001199607,0.010017218,0.021068468,0.028886394,0.001969605,0.008792802
44939,0.002163046,-0.01174557,-0.006350779,-0.002259323,-0.000806039,-0.012078545,-0.009810574,-0.016013124,-0.000787947,0.069646522,-0.012670345,-0.009838708,0.044263993,-0.021912252,0.003626211,0.007442789
44943,-0.016074822,-0.01236601,-0.015361751,-0.021070739,-0.016538782,-0.017437885,-0.018988795,-0.030942176,-0.009784777,-0.02281526,-0.018211728,-0.002651775,-0.020689313,-0.006751541,-0.020114425,-0.006659905
44944,-0.021998793,-0.040951905,-0.001517827,0.006085336,0.003782425,-0.003936592,0.016309589,-0.013855211,-0.020666545,-0.014570689,0.022484304,0.020171799,-0.038013351,-0.019412504,-0.017635409,-0.000831822
44945,0.021403793,0.012593004,-0.004832876,0.017758332,0.017002522,-0.015664054,0.004263706,0.002006935,0.012131281,0.045987341,0.022601708,0.05124663,0.059934543,0.036810341,0.034075009,0.017762909
44946,0.0247381,0.000950052,-0.002713671,-0.005531766,-0.001116771,-0.01250759,-0.002468318,0.015643542,0.017628266,0.072583714,0.026825411,0.017108615,0.070999348,0.00218255,0.008731794,0.021953103
44949,-0.001979959,0.006408114,-0.000162078,0.008955599,-0.00183144,0.010849734,0.011250889,0.008120344,0.00462631,-0.001016501,-0.001681173,-0.021954324,0.001585175,-0.012971395,-0.003273181,0.008737306
44950,-0.003466971,-0.001927045,0.006942309,-0.005598972,0.003963951,0.008305048,0.001232167,0.00438854,-9.19758E-05,0.001755868,-0.012296796,-0.026499378,0.00084695,0.008299025,-0.006970196,-0.00598729
44951,0.01403813,-0.011506591,-0.003826361,0.039091089,-0.001382145,-0.006221276,-6.37E-04,0.005723627,0.020584307,0.102075072,0.039398279,0.023079576,0.022327708,0.020184766,0.029206784,0.013419413
44952,0.008999839,0.00856305,-0.004077621,-0.018739297,0.02897293,-0.018419194,-0.013739302,0.001986986,-0.013963484,0.10237171,0.028923871,0.018004969,0.02587557,0.029393432,-0.000399624,0.012316019
44953,-9.84E-04,-0.008339023,-0.03789781,-0.018204243,-0.01069908,-0.005979044,-0.001131928,-0.008955861,-0.017476427,-0.067255661,-0.032101258,-0.0255459,-0.063047766,-0.017257747,-0.023250965,-0.021557832
44956,0.014532439,0.030538483,0.008565148,0.021032007,0.004296325,0.009371406,0.026613435,0.005508868,0.004901602,0.036616703,0.012130949,0.018622226,0.017221774,0.024745231,0.019750379,0.007705029
44957,0.012193433,0.011447206,0.008974856,-0.011320821,0.002455698,-0.005892615,-0.004993667,-0.003086258,0.028671207,0.044207283,0.026703597,0.015170763,0.067335171,0.0188077,0.018693949,0.006594252
44958,0.009637421,0.034467224,0.003590241,-0.032101114,-0.006357292,-0.036555441,-0.054689863,-0.005106392,0.00379554,0.035127506,0.208534121,0.069472067,0.033763295,0.070613233,0.044773823,0.03511684
44959,-0.017589282,-0.02527263,-0.005795847,0.006590563,0.001942938,0.023733313,0.001927363,0.014916691,-0.014747669,0.007051725,-0.012710633,-0.028645858,-0.030613041,-0.088672763,-0.024948589,0.022831521
